   23.133.168.197  400442  0.0                   (Winnipeg, Manitoba, CA, NA)                                                                                                     
   23.133.168.129  400442  0.116                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   205.236.99.241  400442  0.297                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   207.245.202.224 6461    0.449                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   64.125.22.217   6461    0.396 (0.918)            (Winnipeg, Manitoba, CA, NA) ae2.mpr1.ywg2.ca.zip.zayo.com                                                                       
   64.125.20.74    6461    22.083                  (Toronto, Ontario, CA, NA) ae20.mpr1.tor3.ca.zip.zayo.com                                                                      
   64.125.23.71    6461    28.659                      (Montreal, QC, CA, NA) ae4.mpr2.yul2.ca.zip.zayo.com                                                                       
   208.184.12.131  6461    28.413                  (Montréal, Quebec, CA, NA) zayo-telus.mpr2.yul2.ca.zip.zayo.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   206.162.189.131 852     28.624                  (Montréal, Quebec, CA, NA) pcisrv.consultik.qc.ca                                                                              
