   195.43.159.22   207788  0.0                           (Oslo, Oslo, NO, EU) anchors.as207788.net                                                                                
   195.43.159.17   207788  0.405                         (Oslo, Oslo, NO, EU)                                                                                                     
   31.169.48.100   50304   0.758                         (Oslo, Oslo, NO, EU)                                                                                                     
   62.115.47.198   1299    0.686                         (Oslo, Oslo, NO, EU) oso-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.181.191  1299    0.835                         (Oslo, Oslo, NO, EU) lumen-ic-350627.ip.twelve99-cust.net                                                                
S&T (1299, 3356)  tampnet-offshore-foc-network ✘ || no-uk ©
╰─ 171.75.9.67     3356    26.163               (Manchester, England, GB, EU) ae2.2.edge3.man2.neo.colt.net                                                                       
   195.50.121.178  33920   27.345                  (Manchester, None, GB, EU) AQ-LIMITED.bear1.Manchesteruk2.Level3.net                                                           
   141.170.18.134  33920   27.292                        (Leeds, ENG, GB, EU) eth7.er2.cloud.aql.com                                                                              
   141.170.22.14   33920   35.499                    (Leeds, England, GB, EU) unassigned.aql.com                                                                                  
