   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.203     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.528     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.563     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.277 (2.702)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.985                    (Miami, Florida, US, NA)                                                                                                     
   74.119.26.91    21559   23.696                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.24.2.225    174     24.424                  (Jacksonville, FL, US, NA) be3484.rcr21.jax01.atlas.cogentco.com                                                               
   154.54.46.101   174     30.588                  (Atlanta, Georgia, US, NA) be2450.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.24.221   174     46.652                    (Washington, DC, US, NA) be2113.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.40.109   174     52.704                      (New York, NY, US, NA) be2807.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.0.142    174     52.674                      (New York, NY, US, NA) be3496.ccr31.jfk10.atlas.cogentco.com                                                               
   38.140.106.218  174     52.928           (New York City, New York, US, NA)                                                                                                     
   152.195.68.35   15133   52.474           (New York City, New York, US, NA)                                                                                                     
