   185.6.39.132    42953   0.0                        (Cork, Munster, IE, EU)                                                                                                     
   185.6.39.130    42953   0.972                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.98     47720   9.036                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.197    47720   5.902                      (Cork, Munster, IE, EU)                                                                                                     
╭─ 62.23.108.45    8220    17.89                   (Dublin, Leinster, IE, EU) host.45.108.23.62.rev.coltfrance.com                                                                
S&T (8220, 203)  
╰─ 212.74.66.249   203     27.555                        (None, None, GB, EU) *                                                                                                   
   5.57.80.176     31655   16.036                        (None, None, GB, EU) lonap-gw1.gammatelecom.com                                                                          
   164.39.242.16   31655   24.992            (Trafford Park, England, GB, EU)                                                                                                     
   164.39.242.17   31655   22.204               (Manchester, England, GB, EU)                                                                                                     
