   166.0.65.4      396163  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.3      396163  0.142                (Seattle, Washington, US, NA)                                                                                                     
   216.200.68.81   6461    0.421                (Seattle, Washington, US, NA) 0.xe-200-0-57.er1.sea3.us.zip.zayo.com                                                              
   ***             *       -inf                                           *** *                                                                                                   
   64.125.21.211   6461    4.237               (Maywood Park, Oregon, US, NA) ae24.mpr4.pdx1.us.zip.zayo.com                                                                      
   64.125.20.213   6461    3.842               (Maywood Park, Oregon, US, NA) ae13.mpr2.pdx1.us.zip.zayo.com                                                                      
╭─ 209.66.125.39   6461    4.473                (Seattle, Washington, US, NA) 209.66.125.39.ipyx-251348-zyo.zip.zayo.com                                                          
S (6461, 55850)  
╰─ 116.251.184.13  55850   131.705                    (Tauranga, BOP, NZ, OC) et-0-0-9.orb-p-2.as55850.net                                                                        
   116.251.184.34  55850   131.765                    (Tauranga, BOP, NZ, OC) et-0-0-17.atc-p-2.as55850.net                                                                       
   116.251.187.212 55850   131.321               (Auckland, Auckland, NZ, OC) ip-116-251-187-212.kinect.net.nz                                                                    
   116.251.187.213 55850   131.356               (Auckland, Auckland, NZ, OC) ip-116-251-187-213.kinect.net.nz                                                                    
   103.243.102.130 64073   132.104               (Auckland, Auckland, NZ, OC) 103-243-102-130.rdns.vetta.net                                                                      
   202.179.142.215 64073   260.345               (Auckland, Auckland, NZ, OC) 202-179-142-215.rdns.vetta.net.nz                                                                   
   103.121.34.150  138398  260.506               (Auckland, Auckland, NZ, OC) 103-121-34-150.netbydesign.nz                                                                       
