   45.76.126.106   20473   0.0              (Sydney, New South Wales, AU, OC) 45.76.126.106.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       3.685 (11.907)                                     ***                                                                                                     
   10.74.1.13      *       4.578                                          ***                                                                                                     
   10.74.1.185     *       1.234                                          ***                                                                                                     
╭─ 103.26.68.73    9790    0.544                        (Sydney, NSW, AU, OC) as9790.sydney.megaport.com                                                                          
S (9790)  tasman-global-access-tga-cable © || southern-cross-cable-network-sccn © || hawaiki ✘
╰─ 131.203.72.166  9790    24.137                (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   131.203.72.165  9790    24.258                (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   103.242.68.65   133075  24.577                   (Wellington, WGN, NZ, OC) *                                                                                                   
   103.242.68.78   133075  24.714                (Auckland, Auckland, NZ, OC) 103-242-68-78.broadband.telesmart.co.nz                                                             
