   102.220.178.25  328829  0.0              (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.30  328829  0.214            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.179.117 328829  0.639            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.117 328829  0.788            (Cape Town, Western Cape, ZA, AF) rnd-br1-sfp28-1-882.vumatel.co.za                                                                   
   102.220.177.105 328829  22.099                (Diepsloot, Gauteng, ZA, AF) tri-br2-sfp2-834.vumatel.co.za                                                                      
   102.220.177.114 328829  22.17                  (Pretoria, Gauteng, ZA, AF) tri-br1-sfp28-2-861.vumatel.co.za                                                                   
   196.60.8.198    13335   21.834                 (Johannesburg, 6, ZA, None) cloudflare.ixp.joburg                                                                               
   172.68.41.3     13335   20.309             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   172.69.145.97   13335   19.323             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   172.69.145.45   13335   19.494             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   172.69.145.6    13335   19.652             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
