   204.8.154.50    10961   0.0                (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
   128.197.255.155 111     0.767              (Boston, Massachusetts, US, NA)                                                                                                     
   128.197.255.152 111     0.816              (Boston, Massachusetts, US, NA)                                                                                                     
   128.197.254.118 111     2.986              (Boston, Massachusetts, US, NA) comm595-bdr-gw01-gi1-1-cumm111-core-aca01-gi2-7.bu.edu                                              
   4.36.227.173    3356    1.073              (Boston, Massachusetts, US, NA) 4-2-3.bear1.boston1.level3.net                                                                      
   129.250.66.37   2914    1.642           (Cambridge, Massachusetts, US, NA) ae-11.r00.bstnma07.us.bb.gin.ntt.net                                                                
   ***             *       -inf                                           *** *                                                                                                   
   129.250.3.9     2914    6.677                         (None, None, US, NA) ae-2.a01.londen14.uk.bb.gin.ntt.net                                                                 
   128.241.10.213  2914    6.977            (New York City, New York, US, NA) ce-4-1-1-1001.a02.nycmny17.us.ce.gin.ntt.net                                                        
   109.230.208.226 199610  7.443                (Clifton, New Jersey, US, NA)                                                                                                     
