   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.881               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.714               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    3.358               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    3.358               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    2.744               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
╭─ 63.218.165.85   3491    2.358                       (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
S&T (3491)  indonesia-global-gateway-igg-system ✓ || batam-dumai-melaka-bdm-cable-system ✘ || seamewe-5 ✓ || palapa-ring-west ✓ || jasuka ✓ || seamewe-4 ✓ || asia-america-gateway-aag-cable-system ✓ || seax-1 ✘ || asia-submarine-cable-express-asecahaya-malaysia ✓ || batam-rengit-cable-system-brcs ✘ || apcn-2 👍
╰─ 63.218.166.226  3491    10.246                (Kuala Lumpur, None, MY, AS) TenGE0-2-0-3.br02.klp01.pccwbtn.net                                                                 
   63.222.188.9    3491    9.761         (Kuala Lumpur, Kuala Lumpur, MY, AS)                                                                                                     
