   144.202.18.114  20473   0.0                     (Atlanta, Georgia, US, NA) 144.202.18.114.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.77.0.89      *       1.338                                          ***                                                                                                     
   10.77.0.137     *       0.638                                          ***                                                                                                     
   213.248.96.150  1299    0.774                   (Atlanta, Georgia, US, NA)                                                                                                     
   62.115.134.110  1299    0.95                    (Atlanta, Georgia, US, NA) atl-bb1-link.ip.twelve99.net                                                                        
   62.115.138.70   1299    17.874      (Washington, Washington, D.C., US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   62.115.141.245  1299    23.297           (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.112.69   1299    22.802           (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   23.987               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
