   87.201.194.242  15802   0.0                            (Dubai, DU, AE, AS) *                                                                                                   
╭─ 87.201.194.241  15802   1.819                          (Dubai, DU, AE, AS) *                                                                                                   
LHL (15802, 1273)  seamewe-5 ✓ || seamewe-4 ✓ || asia-africa-europe-1-aae-1 ✓ || imewe ✓
├  10.100.35.117   *       2.026                                          ***                                                                                                     
├  10.100.129.22   *       2.578                                          ***                                                                                                     
├  10.141.79.222   *       121.806                                        ***                                                                                                     
╰─ 80.81.194.185   1273    127.969           (Frankfurt am Main, 5, DE, None) DE-CIX.IPv4.DeltaTelecom-as29049.AZ-IX.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
