   103.121.34.150  138398  0.0                   (Auckland, Auckland, NZ, OC) 103-121-34-150.netbydesign.nz                                                                       
   103.121.34.131  138398  0.193                 (Auckland, Auckland, NZ, OC) eth2.vrt2.akl.netbydesign.nz                                                                        
   103.130.69.89   138398  0.245                 (Auckland, Auckland, NZ, OC) 103-130-69-89.netbydesign.nz                                                                        
   103.216.222.21  136557  0.202                 (Auckland, Auckland, NZ, OC) core.220q.nz.hostuniversal.com.au                                                                   
   210.176.42.24   4637    0.792                 (Auckland, Auckland, NZ, OC) unknown.telstraglobal.net                                                                           
╭─ 202.84.223.33   4637    0.619 (3.389)            (Auckland, Auckland, NZ, OC) i-92.tauc-core02.telstraglobal.net                                                                  
S (4637)  hawaiki ✘ || southern-cross-cable-network-sccn 👍 || southern-cross-next 👍
╰─ 202.84.138.82   4637    133.597          (Los Angeles, California, US, NA)                                                                                                     
   202.84.138.82   4637    133.597          (Los Angeles, California, US, NA)                                                                                                     
   202.84.143.206  4637    133.978             (Milpitas, California, US, NA) i-0-6-0-1.eqnx-core02.telstraglobal.net                                                             
   202.84.247.17   4637    133.207             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   206.223.117.65  14061   133.279                   (Secaucus, NJ, US, None) eqix-sv1.digitalocean.com                                                                           
   138.197.245.113 *       133.973             (San Jose, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   134.2            (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
