   185.184.236.30  45014   0.0            (Hampton in Arden, England, GB, EU) rdns.host-it.co.uk                                                                                  
   185.184.236.26  45014   0.43           (Hampton in Arden, England, GB, EU) rdns.host-it.co.uk                                                                                  
   92.60.104.113   45014   2.982                    (London, England, GB, EU) eth-50.sw1.ld5.slough.as45014.net                                                                   
   92.60.104.118   45014   2.925                    (London, England, GB, EU) eth-51.gw3.rtr.ld5.slough.as45014.net                                                               
   5.57.80.174     28792   3.611                         (None, None, GB, EU) gi0-1.core01-lon03.ip.pblin.net                                                                     
   80.82.243.140   28792   2.984                        (Witney, ENG, GB, EU) gi0-0-0.lon-core-02.ip.pblin.net                                                                    
   80.82.243.152   28792   8.291                        (Witney, ENG, GB, EU) te0-3-0.man-core-01.ip.pblin.net                                                                    
   80.82.243.244   28792   8.471                  (Didsbury, England, GB, EU) 244-243-82-80.in-addr.pblin.net                                                                     
   80.82.242.39    28792   8.229                (Manchester, England, GB, EU) 39-242-82-80.in-addr.pblin.net                                                                      
