   23.133.168.197  400442  0.0                   (Winnipeg, Manitoba, CA, NA)                                                                                                     
   23.133.168.129  400442  0.221                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   205.236.99.241  400442  0.325                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   184.105.64.86   6939    16.007                      (Winnipeg, MB, CA, NA) 100ge10-1.core1.ywg1.he.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   216.66.41.244   6939    28.686                  (Montréal, Quebec, CA, NA) port-channel7.core1.ymq1.he.net                                                                     
   184.104.192.154 6939    41.339                       (Moncton, NB, CA, NA) 100ge0-34.core2.yqm1.he.net                                                                         
   209.51.184.134  3367    41.515                       (Moncton, NB, CA, NA) f6-networks-inc.10gigabitethernet12-15.core1.yqm1.he.net                                            
   98.143.249.21   21659   40.725                       (Moncton, NB, CA, NA) enova-98-143-249-21.e-novations.ca                                                                  
   96.126.70.90    21659   41.374            (Moncton, New Brunswick, CA, NA) 96-126-70-90.apbx.ca                                                                                
