   212.7.0.250     8728    0.0                    (Tallinn, Harjumaa, EE, EU) ee-tll-as8728.anchors.atlas.ripe.net                                                                
   212.7.0.253     8728    0.168                  (Tallinn, Harjumaa, EE, EU)                                                                                                     
   212.7.30.42     8728    0.858                  (Tallinn, Harjumaa, EE, EU) c-30-42.infonet.ee                                                                                  
   212.7.29.65     8728    0.703                        (Tallinn, 37, EE, EU) *                                                                                                   
╭─ 87.245.242.68   9002    0.44                   (Tallinn, Harjumaa, EE, EU) ae8-538.rt.eln.tll.ee.retn.net                                                                      
S&T (9002)  
╰─ 87.245.232.176  9002    1.516                     (Espoo, Uusimaa, FI, EU) ae3-7.rt.tnr.hki.fi.retn.net                                                                        
   87.245.248.46   47605   7.789                         (None, None, FI, EU) GW-FNE.retn.net                                                                                     
   87.236.158.197  47605   7.721                         (None, None, FI, EU) *                                                                                                   
   87.236.154.213  47605   7.855                         (None, None, FI, EU) *                                                                                                   
   85.194.195.43   47605   7.769                         (None, None, FI, EU) *                                                                                                   
   95.175.96.10    49282   2.362                  (Helsinki, Uusimaa, FI, EU) 0000-rsegd-opa.mgmt.fi.ficolo.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   95.175.96.76    49282   6.193                        (Tampere, 11, FI, EU) *                                                                                                   
   95.175.97.22    49282   6.272                    (Pori, Satakunta, FI, EU)                                                                                                     
