   166.0.65.4      396163  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.3      396163  0.233                (Seattle, Washington, US, NA)                                                                                                     
   216.200.68.81   6461    0.45                 (Seattle, Washington, US, NA) 0.xe-200-0-57.er1.sea3.us.zip.zayo.com                                                              
   64.125.30.172   6461    2.842                (Seattle, Washington, US, NA) ae5.cs2.sea1.us.eth.zayo.com                                                                        
   64.125.29.3     6461    1.949                        (Seattle, WA, US, NA) ae27.mpr2.sea1.us.zip.zayo.com                                                                      
╭─ 205.177.32.53   3491    1.774                        (Seattle, WA, US, NA) 205-177-32-53.static.pccwglobal.net                                                                 
S (3491)  faster ✓ || japan-u-s-cable-network-jus 👍 || pacific-crossing-1-pc-1 ✓ || jupiter 👍 || tata-tgn-pacific ✓
╰─ 63.218.250.78   3491    123.62                      (Tokyo, Tokyo, JP, AS) bundle-eth53.clbr01.tok02.as3491.net                                                                
   63.218.251.18   15133   118.323               (Tokyo / Narita, 12, JP, AS) *                                                                                                   
   152.195.112.52  15133   139.583                     (Tokyo, Tokyo, JP, AS)                                                                                                     
