   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   0.33           (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.18  48854   0.418          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.250     48854   0.253          (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.423          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
╭─ 93.167.247.105  3292    0.462          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
T (3292)  globalconnect-3-gc3 ✘
╰─ 83.88.2.66      3292    14.85           (Frankfurt am Main, Hesse, DE, EU) ae6-0.ffm2nqp1.de.ip.tdc.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   85.119.200.182  61157   17.194                        (None, None, DE, EU) ae0.cr2.fra.plusserver.com                                                                          
   85.119.200.86   61157   29.327                       (Hamburg, HH, DE, EU) ae2.cr2.ham6.plusserver.com                                                                         
   85.119.200.130  61157   29.599                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   194.233.207.241 6659    30.48                   (Hamburg, Hamburg, DE, EU)                                                                                                     
   194.233.214.2   6659    30.802                  (Hamburg, Hamburg, DE, EU)                                                                                                     
