   85.233.1.54     29505   0.0           (Lübeck, Schleswig-Holstein, DE, EU) de-lbc-as29505.anchors.atlas.ripe.net                                                               
   85.233.1.50     29505   0.434         (Lübeck, Schleswig-Holstein, DE, EU) svi9.rt-core-lbc-nls-01.net.glasfaser.swhl.de                                                       
   85.233.1.1      29505   0.458         (Lübeck, Schleswig-Holstein, DE, EU) et-0-0-0-0.rt-edge-lbc-nls-01.net.glasfaser.swhl.de                                                 
   193.42.155.5    *       1.27                    (Hamburg, Hamburg, DE, EU) as61157.hamburg.megaport.com                                                                        
   85.119.200.198  61157   1.747                        (Hamburg, HH, DE, EU) ae7.cr2.ham6.plusserver.com                                                                         
   85.119.200.142  6659    2.066                        (Hamburg, HH, DE, EU) be2.er0.ham6.plusserver.com                                                                         
   194.15.144.152  6659    2.605                         (None, None, DE, EU) *                                                                                                   
   194.15.144.152  6659    2.605                         (None, None, DE, EU) *                                                                                                   
   212.116.21.241  6659    2.164     (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    2.555                   (Hamburg, Hamburg, DE, EU)                                                                                                     
