   84.88.18.254    13041   0.0                 (Barcelona, Catalonia, ES, EU) anchor-anella.cesca.cat                                                                             
   84.88.18.253    13041   0.705               (Barcelona, Catalonia, ES, EU) anella-anchor.cesca.cat                                                                             
   130.206.214.97  766     9.249                     (Madrid, Madrid, ES, EU) anella-ppal-as13041.ethtrunk11-81.telmad.rt3.mad.red.rediris.es                                     
   130.206.245.1   766     9.483                         (None, None, ES, EU) telmad.rt4.ethtrunk9.ciemat.rt2.mad.red.rediris.es                                                  
╭─ 185.79.175.176  9002    10.087                         (Madrid, M, ES, EU) retn.alta.espanix.net                                                                               
S&T (9002)  flag-europe-asia-fea ✓ || seamewe-3 ✓
╰─ 87.245.233.115  9002    35.058                   (Milan, Lombardy, IT, EU) et302-10.rt.vsx.pda.it.retn.net                                                                     
   87.245.241.129  9002    34.803                   (Milan, Lombardy, IT, EU) gw-as201333.retn.net                                                                                
   185.78.48.146   201333  39.149                   (Milan, Lombardy, IT, EU) ens1f4-911-r02.pia1.naquadria.net                                                                   
   185.78.48.244   201333  38.994                     (Parabiago, 25, IT, EU) lf01b5-vlan910.pia1.naquadria.net                                                                   
   185.78.49.100   201333  39.344          (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
