   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   0.686     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.29    6057    0.686 (5.984)(Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.75    6057    32.453    (Montevideo, Montevideo Department, UY, SA) brpa51.pdp-be10.antel.net.uy                                                                        
╭─ 179.31.62.41    6057    30.911    (Colonia del Sacramento, Colonia, UY, SA) crsan2.gru-ae1040.antel.net.uy                                                                      
S (6057)  
╰─ 179.31.62.50    6057    29.049              (São Paulo, São Paulo, BR, SA) crsan1.gru-ae1050.antel.net.uy                                                                      
   45.6.54.203     6057    32.957                (Rio de Janeiro, RJ, BR, SA) as6057.riodejaneiro.rj.ix.br                                                                        
   45.6.52.101     1916    31.924                (Rio de Janeiro, RJ, BR, SA) as1916.riodejaneiro.rj.ix.br                                                                        
   200.143.252.235 1916    33.547    (Rio de Janeiro, Rio de Janeiro, BR, SA) crj2-crj1.bkb.rnp.br                                                                                
   170.79.213.164  *       41.143    (Rio de Janeiro, Rio de Janeiro, BR, SA) cmg2-crj2-wirelink.bkb.rnp.br                                                                       
   200.143.255.174 1916    41.355                   (Nova Iguaçu, RJ, BR, SA) lanmg2-mg2.bkb.rnp.br                                                                               
   200.131.0.143   1916    41.363                        (None, None, BR, SA) ptp-tropeiro-almeirao.pop-mg.rnp.br                                                                 
   200.19.158.1    1916    42.073      (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1.pop-mg.rnp.br                                                                            
   150.164.164.43  271354  39.725      (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.133 271354  40.332                        (None, None, BR, SA) *                                                                                                   
   150.164.164.2   271354  40.432                        (None, None, BR, SA) dcc-fw.rede.ufmg.br                                                                                 
   150.164.1.130   271354  40.18                         (None, None, BR, SA) shivalegacy.dcc.ufmg.br                                                                             
   150.164.1.222   271354  42.159      (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
