   185.225.24.25   64289   0.0                      (London, England, GB, EU)                                                                                                     
   185.225.24.1    64289   0.25                     (Poplar, England, GB, EU) mx1.lon.macarne.com                                                                                 
   213.248.99.26   1299    0.615                    (Poplar, England, GB, EU) ldn-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.120.74   1299    0.554 (1.637)               (Poplar, England, GB, EU) ldn-bb1-link.ip.twelve99.net                                                                        
S&T (1299)  circe-north ✓ || ulysses-2 ✘ || scylla ✘ || zeus ✓ || concerto ✘ || farland-north ✘
╰─ 213.155.136.99  1299    6.919           (Amsterdam, North Holland, NL, EU) adm-bb1-link.ip.twelve99.net                                                                        
   62.115.145.63   1299    6.667           (Amsterdam, North Holland, NL, EU) leaseweb-ic-316582.ip.twelve99-cust.net                                                             
   62.115.145.63   1299    6.667           (Amsterdam, North Holland, NL, EU) leaseweb-ic-316582.ip.twelve99-cust.net                                                             
   81.17.35.91     *       6.697           (Amsterdam, North Holland, NL, EU) po-1.ce03.ams-01.nl.leaseweb.net                                                                    
   185.51.192.48   60781   6.741             (Haarlem, North Holland, NL, EU)                                                                                                     
