   188.172.217.86  42473   0.0                (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   188.172.217.85  42473   0.615                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
   196.60.8.135    37179   1.08                   (Johannesburg, 6, ZA, None) africainx.ixp.joburg                                                                                
   41.84.13.64     37179   19.015                  (Johannesburg, GP, ZA, AF) core.ge-3-0-10-gp-id-scp-2.za.africainx.net                                                         
   41.84.12.175    37179   16.567                  (Johannesburg, GP, ZA, AF) core.xe-0-1-0-wc-ro-scp-2.za.africainx.net                                                          
   41.84.13.37     37179   16.318                  (Johannesburg, GP, ZA, AF) core.xe-0-0-0-wc-ro-het-mee-1.za.africainx.net                                                      
   41.66.133.2     37399   16.542                  (Johannesburg, GP, ZA, AF) 41-66-133-2.hetzner-cpt-ip4-gw.africainx.net                                                        
   196.40.102.70   37153   23.688                        (None, None, ZA, AF) core-access-switch1-vlan1001.cpt.host-h.net                                                         
   196.40.111.147  37153   18.201           (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
