   45.65.244.254   265721  0.0                  (Sosúa, Puerto Plata, DO, NA) ripeatlas-anchor.cableatlantico.com                                                                 
   45.65.244.253   265721  0.223                (Sosúa, Puerto Plata, DO, NA) linea-dedicada-244-253.cableatlantico.com                                                           
╭─ 200.58.244.1    265721  0.617                (Sosúa, Puerto Plata, DO, NA) puertoplata-link-100g.cableatlantico.com                                                            
S (265721, 23520)  america-movil-submarine-cable-system-1-amx-1 ✘
╰─ 69.79.106.50    23520   19.799                    (Miami, Florida, US, NA) xe-2-0-8.pr-mop03-mx01.metrooffice.puerto-rico.cwc.com                                              
   62.115.177.56   1299    22.018                    (Miami, Florida, US, NA) mai-b4-link.ip.twelve99.net                                                                         
   62.115.136.180  1299    48.584                 (Ashburn, Virginia, US, NA) ash-bb2-link.ip.twelve99.net                                                                        
   62.115.136.200  1299    54.329           (Jersey City, New Jersey, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
   62.115.112.71   1299    52.977               (Bayonne, New Jersey, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   45.976               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
