   185.39.208.23   199993  0.0                       (Lisbon, Lisbon, PT, EU) atlasancora01.wan.dns.pt                                                                            
   185.39.208.60   199993  0.666                     (Lisbon, Lisbon, PT, EU)                                                                                                     
   194.210.4.137   1930    1.25                      (Lisbon, Lisbon, PT, EU) router63.lisboa.fccn.pt                                                                             
   194.210.6.212   1930    1.175                     (Lisbon, Lisbon, PT, EU)                                                                                                     
   194.210.6.205   1930    1.534                     (Lisbon, Lisbon, PT, EU) router6.lisboa.fccn.pt                                                                              
   193.136.250.200 13335   1.573                       (Lisbon, 14, PT, None) Cloudflare.AS13335.gigapix.pt                                                                       
   172.68.101.54   13335   0.879                         (Lisbon, 11, PT, EU) *                                                                                                   
   172.68.101.57   13335   0.998                         (Lisbon, 11, PT, EU) *                                                                                                   
   172.68.101.73   13335   1.088                         (Lisbon, 11, PT, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
