   63.222.7.46     3491    0.0                 (Hong Kong, Hong Kong, HK, AS) 63-222-7-46.static.pccwglobal.net                                                                   
   63.222.7.45     3491    0.704            (Kau Wa Keng, Kwai Tsing, HK, AS) 63-222-7-45.static.pccwglobal.net                                                                   
   63.218.174.122  3491    1.415               (Hong Kong, Hong Kong, HK, AS) be41.br04.hkg12.as3491.net                                                                          
   154.54.140.65   174     1.696                    (Hong Kong, None, HK, AS) be3492.rcr51.hkg01.atlas.cogentco.com                                                               
╭─ 154.54.88.49    174     2.945                    (Hong Kong, None, HK, AS) be2414.ccr21.hkg02.atlas.cogentco.com                                                               
S (174)  asia-africa-europe-1-aae-1 ✓ || seamewe-3 ✓
╰─ 154.54.6.25     174     247.566                   (Marseille, PAC, FR, EU) be2900.ccr32.mrs02.atlas.cogentco.com                                                               
   154.54.39.65    174     242.091               (Lille/Lesquin, HDF, FR, EU) be3519.rcr51.lil01.atlas.cogentco.com                                                               
   149.14.127.98   174     241.399   (Septèmes-les-Vallons, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   185.233.32.213  211997  248.298   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) 185-233-32-213.eho.link                                                                             
