   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.189            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.246            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.84             (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    1.203                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   203.50.13.86    1221    2.232            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    2.232            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    146.087          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    146.087          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    146.162             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    145.889             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   4.68.68.125     3356    146.061       (East Palo Alto, California, US, NA)                                                                                                     
   4.69.208.178    3356    214.533                     (New York, NY, US, NA) ae2.3601.ear1.NewYork6.level3.net                                                                   
   65.59.14.18     20473   216.041                     (New York, NY, US, NA) CHOOPA-LLC.ear1.NewYork6.Level3.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   208.167.242.134 20473   245.073           (Piscataway, New Jersey, US, NA) kanako.us.nat.moe                                                                                   
   141.193.21.6    46997   235.398              (Seattle, Washington, US, NA) sea01.us.nat.moe                                                                                    
   141.193.21.100  46997   235.474              (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
