   197.189.194.147 37153   0.0                (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
   197.189.194.145 37153   0.136 (5.039)         (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.189.193.2   37153   0.272              (Johannesburg, Gauteng, ZA, AF) core-router1.jnb1.host-h.net                                                                        
   196.60.96.10    *       0.893              (Johannesburg, Gauteng, ZA, AF) dimensiondata.jinx.net.za                                                                           
   196.26.0.65     3741    1.953                         (None, None, ZA, AF) mi-za-pkl-p7.lo0.ip.ddii.network                                                                    
   168.209.100.212 3741    175.609                       (None, None, ZA, AF) *                                                                                                   
   168.209.246.80  3741    174.085                       (None, None, ZA, AF) ar3-dock-be-2.ip.ddii.network                                                                       
   168.209.160.109 3741    173.249                       (None, None, ZA, AF) *                                                                                                   
   196.14.240.4    3741    256.225                       (None, None, ZA, AF) *                                                                                                   
╭─ 196.14.240.5    37350   256.4                         (None, None, ZA, AF) *                                                                                                   
S&T (37350, 30997)  
╰─ 196.201.2.126   30997   256.022                       (Accra, 1, GH, None) *                                                                                                   
   196.49.14.25    30997   256.057             (Accra, Greater Accra, GH, AF)                                                                                                     
