   124.157.73.186  24324   0.0        (Wellington, Wellington Region, NZ, OC)                                                                                                     
   124.157.73.185  24324   0.83       (Wellington, Wellington Region, NZ, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   124.157.114.134 24324   8.476                 (Auckland, Auckland, NZ, OC) int-prm.tvc.kordia.net.nz                                                                           
   202.50.236.5    *       9.532                 (Auckland, Auckland, NZ, OC) ae9-141.tkbr11.global-gateway.net.nz                                                                
   122.56.119.109  4648    9.482                      (Auckland, AUK, NZ, OC) *                                                                                                   
   202.50.232.30   4648    10.16                         (None, None, NZ, OC) *                                                                                                   
   122.56.119.18   4648    133.516                    (Auckland, AUK, NZ, OC) *                                                                                                   
   122.56.127.26   4648    138.337                    (Auckland, AUK, NZ, OC) ae3-10.lebr7.global-gateway.net.nz                                                                  
╭─ 202.50.232.42   4648    137.675                       (None, None, NZ, OC) *                                                                                                   
S (4648, 3356)  
╰─ 4.68.37.89      3356    141.281                  (Los Angeles, CA, US, NA) lag-14.ear2.LosAngeles1.Level3.net                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   4.7.18.10       14061   143.662                       (Gilroy, CA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   148.253          (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
