   170.39.227.194  917     0.0                  (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   170.39.227.2    917     0.212                (Seattle, Washington, US, NA) v210.cr01.sea02.us.misaka.io                                                                        
   84.17.33.8      60068   0.21                 (Seattle, Washington, US, NA) po77-3528.cr01.sea02.us.misaka.io                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   154.54.95.174   174     1.095                (Seattle, Washington, US, NA)                                                                                                     
╭─ 38.88.252.178   2497    20.169                        (None, None, US, NA) *                                                                                                   
S (2497)  faster ✓ || pacific-crossing-1-pc-1 ✓ || tata-tgn-pacific ✓
╰─ 58.138.88.133   2497    108.497                     (Tokyo, Tokyo, JP, AS) tky001bb01.iij.net                                                                                  
   58.138.102.110  2497    106.525                     (Tokyo, Tokyo, JP, AS) tky001ip57.iij.net                                                                                  
   210.138.107.34  9370    107.647                      (Shibuya, 13, JP, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   210.188.225.234 59105   107.859                       (None, None, JP, AS) as59105-tkwrt1x.bb.sakura.ad.jp                                                                     
   103.41.60.172   10010   109.169                     (Tokyo, Tokyo, JP, AS) koba-bgprt2.tokyo-ix.v4.open.ad.jp                                                                  
   103.143.136.30  63781   109.503             (Motoyoyogichō, Tokyo, JP, AS) ospfrt1-bgprt2.kobayashi.ad.jp                                                                      
   103.143.136.43  63781   106.894                     (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
