   45.11.104.146   57695   0.0                 (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   45.11.104.7     57695   0.239                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   199.119.64.150  969     0.301               (Hong Kong, Hong Kong, HK, AS) po103-10.cr1a.eqhk2.hkg12.hk.917.as                                                                 
   185.229.189.198 60068   0.297               (Hong Kong, Hong Kong, HK, AS) p77-6.cr1a.eqhk2.hkg12.hk.917.as                                                                    
   154.18.7.97     174     0.959               (Hong Kong, Hong Kong, HK, AS) hu0-1-0-1.rcr51.hkg01.atlas.cogentco.com                                                            
╭─ 154.54.88.49    174     1.896                    (Hong Kong, None, HK, AS) be2414.ccr21.hkg02.atlas.cogentco.com                                                               
S (174)  apcn-2 ✓ || asia-pacific-gateway-apg ✓ || eac-c2c ✘
╰─ 154.54.87.225   174     33.459                      (Singapore, 4, SG, AS) be2923.ccr31.sin01.atlas.cogentco.com                                                               
   154.54.140.2    17494   31.751                      (Singapore, 4, SG, AS) telecomitalia.sin01.atlas.cogentco.com                                                              
   93.186.133.210  6762    31.597              (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   45.87.135.252   208398  33.297              (Singapore, Singapore, SG, AS)                                                                                                     
