   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.194     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.47      (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.539     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.249 (2.484)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   18.033                    (Miami, Florida, US, NA)                                                                                                     
   84.16.8.148     12956   18.494                    (Miami, Florida, US, NA)                                                                                                     
   96.87.11.177    7922    18.218                    (Miami, Florida, US, NA) be-206-pe12.nota.fl.ibone.comcast.net                                                               
   96.110.33.169   7922    18.724                         (Miami, FL, US, NA) be-3312-cs03.miami.fl.ibone.comcast.net                                                             
   96.110.44.190   7922    18.602                         (Miami, FL, US, NA) be-1312-cr12.miami.fl.ibone.comcast.net                                                             
   96.110.39.241   7922    24.401                  (Jacksonville, FL, US, NA) be-301-cr11.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.81    7922    24.387                  (Jacksonville, FL, US, NA) be-1211-cs02.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.86    7922    24.5                    (Jacksonville, FL, US, NA) be-1212-cr12.jacksonville.fl.ibone.comcast.net                                                      
   96.110.38.61    7922    30.896                     (Doraville, GA, US, NA) be-302-cr12.doraville.ga.ibone.comcast.net                                                          
   96.110.34.181   7922    30.851                     (Doraville, GA, US, NA) be-1212-cs02.doraville.ga.ibone.comcast.net                                                         
   96.110.34.198   7922    30.904                     (Doraville, GA, US, NA) be-1213-cr13.doraville.ga.ibone.comcast.net                                                         
   96.110.32.81    7922    42.685                 (Ashburn, Virginia, US, NA) be-302-cr11.beaumeade.va.ibone.comcast.net                                                          
   68.86.84.25     7922    42.663                 (Ashburn, Virginia, US, NA) be-1311-cs03.beaumeade.va.ibone.comcast.net                                                         
   68.86.92.26     7922    54.479                 (Ashburn, Virginia, US, NA)                                                                                                     
   68.85.137.213   36733   54.905                  (West Chester, PA, US, NA) be-100-ur21-d.westchester.pa.bo.comcast.net                                                         
   76.26.115.194   7922    54.68         (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
