   80.247.237.225  15826   0.0       (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   213.152.16.77   8218    1.111                (Toulouse, Occitanie, FR, EU) vl104.xe-150-0-38.ter1.batl.tls.core.as8218.eu                                                      
   83.167.55.237   8218    1.301                (Toulouse, Occitanie, FR, EU) ae0.tcr2.bal.tls.core.as8218.eu                                                                     
   83.167.56.246   8218    4.739                (Toulouse, Occitanie, FR, EU) ae3.ter2.neodc.mpl.core.as8218.eu                                                                   
   83.167.55.234   8218    4.852                (Toulouse, Occitanie, FR, EU) ae4.ter1.neodc.mpl.core.as8218.eu                                                                   
╭─ 83.167.56.138   8218    7.21      (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ae8.tcr1.itx.mrs.core.as8218.eu                                                                     
S&T (8218, 8220)  
╰─ 193.149.1.8     8220    22.134                      (Madrid, 29, ES, None) colt.baja.espanix.net                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   217.111.216.186 15699   31.47                         (None, None, ES, EU) *                                                                                                   
   185.11.200.66   15699   31.149                        (None, None, ES, EU) *                                                                                                   
   94.24.115.148   15699   31.002              (Barcelona, Catalonia, ES, EU)                                                                                                     
   94.24.115.154   15699   31.447              (Barcelona, Catalonia, ES, EU)                                                                                                     
