   185.78.49.100   201333  0.0             (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
   185.78.49.5     201333  0.327            (Gerbido, Emilia-Romagna, IT, EU) lf01b5-vlan902.pia1.naquadria.net                                                                   
   185.78.48.241   201333  0.302            (Gerbido, Emilia-Romagna, IT, EU) ens1f4d3-910-r01.pia1.naquadria.net                                                                 
   185.78.48.242   201333  0.291            (Gerbido, Emilia-Romagna, IT, EU) ens1f4d3-910-r02.pia1.naquadria.net                                                                 
   185.78.48.150   201333  2.534 (4.36)      (Piacenza, Emilia-Romagna, IT, EU) ens1f4-911-r01.pad.naquadria.net                                                                    
╭─ 87.245.241.128  9002    2.33 (4.776)      (Piacenza, Emilia-Romagna, IT, EU) ae0-202.rt.vsx.pda.it.retn.net                                                                      
LHL (9002)  jonah ✓ || mednautilus-submarine-system ✓
╰─ 87.245.232.68   9002    31.347                       (Vilnius, VL, LT, EU) ae1-11.RT.TIC.VNO.LT.retn.net                                                                       
   87.245.242.129  9002    2658.809                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.129  9002    2658.809                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
