   103.170.25.13   142360  0.0               (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
   103.170.25.9    142360  0.252             (Semarang, Central Java, ID, AS) ipv4-9-25-170-103.nexa.net.id                                                                       
   103.170.24.249  142360  0.306             (Semarang, Central Java, ID, AS) ipv4-249-24-170-103.nexa.net.id                                                                     
   103.247.126.254 *       0.59              (Semarang, Central Java, ID, AS)                                                                                                     
   218.100.4.157   *       6.875                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   123.108.8.237   *       7.549                   (Jakarta, Jakarta, ID, AS)                                                                                                     
╭─ 103.83.6.5      *       21.281                 (Bekasi, West Java, ID, AS) ip-103-83-6-5.moratelindo.net.id                                                                    
S&T (, 23947)  
╰─ 103.116.125.1   23947   21.422              (Singapore, Singapore, SG, AS)                                                                                                     
   103.116.125.2   23947   21.307              (Singapore, Singapore, SG, AS)                                                                                                     
