   185.6.39.132    42953   0.0                        (Cork, Munster, IE, EU)                                                                                                     
   185.6.39.130    42953   0.925                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.98     47720   0.478                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.198    47720   1.109                      (Cork, Munster, IE, EU)                                                                                                     
╭─ 91.103.0.55     47720   0.889                      (Cork, Munster, IE, EU)                                                                                                     
S&T (47720, 45014)  geo-eirgrid ✘ || rockabill ✓ || esat-2 ✘ || sirius-south ✘ || exa-north-and-south ✘ || havhingstenceltixconnect-2-cc-2 ✘ || exa-express ✘ || pan-european-crossing-uk-ireland ✘ || esat-1 ✘ || solas ✓
╰─ 195.66.225.55   45014   12.199                     (London, ENG, GB, None) ge-0-2.gw4.rtr.thn.lon.as45014.net                                                                  
   92.60.104.93    45014   12.275                        (None, None, GB, EU) te-4-3.sw1.rtr.thn.lon.as45014.net                                                                  
   92.60.104.230   45014   14.165            (Milton Keynes, England, GB, EU) eth-50.gw6.rtr.mkn.as45014.net                                                                      
   185.184.236.30  45014   14.709         (Hampton in Arden, England, GB, EU) rdns.host-it.co.uk                                                                                  
