   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.817               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.928               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    2.767               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    2.767               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    3.004               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
╭─ 63.218.165.85   3491    2.415                       (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
S (3491)  apcn-2 👍 || eac-c2c ✓ || seamewe-3 👍 || southeast-asia-japan-cable-sjc ✓ || tata-tgn-intra-asia-tgn-ia ✓ || asia-america-gateway-aag-cable-system ✓
╰─ 63.218.122.178  3491    44.465                         (Manila, 0, PH, AS) TenGE0-0-2-1.br02.mnl01.pccwbtn.net                                                                 
   63.222.187.5    3491    44.225              (Manila, Metro Manila, PH, AS)                                                                                                     
