   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.437       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   150.164.1.129   271354  0.846       (Belo Horizonte, Minas Gerais, BR, SA) dccbdr.dcc.ufmg.br                                                                                  
   150.164.164.1   271354  0.878       (Belo Horizonte, Minas Gerais, BR, SA) isolado-gw-dcc.rede.ufmg.br                                                                         
   150.164.164.132 271354  0.774       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  0.885       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.605       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.604       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    0.9 (5.634)  (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.196       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.072      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    31.869                        (None, None, BR, SA) *                                                                                                   
╭─ 170.79.213.19   *       96.629      (Belo Horizonte, Minas Gerais, BR, SA) mia1-cce1-tisparkle.bkb.rnp.br                                                                      
S (, 1299)  
╰─ 206.41.108.115  1299    97.626                        (None, None, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   5.8.25.131      199524  97.243                         (Miami, FL, US, NA) vrrp.gcore.lu                                                                                       
   92.38.132.60    202422  96.787                    (Miami, Florida, US, NA)                                                                                                     
