   170.39.227.194  917     0.0                  (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
   170.39.227.9    35487   0.234                        (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.2    917     0.305                (Seattle, Washington, US, NA) v210.cr01.sea02.us.misaka.io                                                                        
╭─ 206.81.80.35    11608   0.442                      (Seattle, WA, US, None) kinect.net.nz                                                                                       
S (11608, 55850)  southern-cross-cable-network-sccn ✘ || hawaiki ✘ || southern-cross-next ✘
╰─ 103.26.202.40   55850   132.456               (Auckland, Auckland, NZ, OC) xe-1-1-0-1.hio-br-1.as55850.net                                                                     
   116.251.184.13  55850   132.555                    (Tauranga, BOP, NZ, OC) et-0-0-9.orb-p-2.as55850.net                                                                        
   116.251.184.34  55850   132.494                    (Tauranga, BOP, NZ, OC) et-0-0-17.atc-p-2.as55850.net                                                                       
   116.251.187.224 55850   132.269               (Auckland, Auckland, NZ, OC) ip-116-251-187-224.kinect.net.nz                                                                    
   116.251.187.225 55850   132.172               (Auckland, Auckland, NZ, OC) ip-116-251-187-225.kinect.net.nz                                                                    
   185.121.168.251 61138   132.303              (Newmarket, Auckland, NZ, OC) nz-akl-as61138.anchors.atlas.ripe.net                                                               
