   80.247.237.225  15826   0.0       (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
   80.247.237.238  15826   0.262                (Toulouse, Occitanie, FR, EU)                                                                                                     
   192.168.1.248   *       0.484                                          ***                                                                                                     
   213.152.16.77   8218    1.038                (Toulouse, Occitanie, FR, EU) vl104.xe-150-0-38.ter1.batl.tls.core.as8218.eu                                                      
   83.167.55.237   8218    0.983                (Toulouse, Occitanie, FR, EU) ae0.tcr2.bal.tls.core.as8218.eu                                                                     
   83.167.56.246   8218    2.973 (5.096)           (Toulouse, Occitanie, FR, EU) ae3.ter2.neodc.mpl.core.as8218.eu                                                                   
   83.167.55.234   8218    2.962 (4.963)           (Toulouse, Occitanie, FR, EU) ae4.ter1.neodc.mpl.core.as8218.eu                                                                   
   83.167.56.138   8218    7.228     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ae8.tcr1.itx.mrs.core.as8218.eu                                                                     
   64.125.22.138   6461    7.307     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) v3.ae5.mpr1.mrs1.fr.zip.zayo.com                                                                    
   64.125.27.14    6461    17.668                        (Paris, IDF, FR, EU) ae3.cs1.cdg11.fr.zip.zayo.com                                                                       
   64.125.29.95    6461    17.883                        (Paris, IDF, FR, EU) ae1.mcs1.cdg11.fr.eth.zayo.com                                                                      
╭─ 213.144.168.222 6762    17.207              (Paris, Île-de-France, FR, EU) ae28.parigi51.par.seabone.net                                                                       
S&T (6762)  seamewe-4 👍
╰─ 195.22.196.71   6762    33.995                         (Milan, 25, IT, EU) ae1.milano52.mil.seabone.net                                                                        
   213.144.167.19  6762    34.785                   (Milan, Lombardy, IT, EU) vox-167-19.mil.seabone.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    41.233                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    43.458                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    41.557                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.138    5602    42.001                          (Rome, 62, IT, EU) cs1-xe-1-1-2-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    44.083                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
