   102.220.178.25  328829  0.0              (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.30  328829  0.276            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.179.117 328829  0.751            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.122 328829  0.873            (Cape Town, Western Cape, ZA, AF) rnd-br1-sfp3-862.vumatel.co.za                                                                      
╭─ 196.60.70.160   37468   1.105                    (Cape Town, 11, ZA, None) 196-10-140-160.ixp.capetown                                                                         
S&T (37468)  west-africa-cable-system-wacs 👍 || sat-3wasc ✓
╰─ 102.130.68.139  37468   35.629                        (None, None, AO, AF) *                                                                                                   
   102.130.68.110  37468   36.944                        (None, None, AO, AF) *                                                                                                   
   102.130.68.104  37468   36.752                        (None, None, AO, AF) *                                                                                                   
   102.130.66.11   37468   36.905                    (Luanda, Luanda, AO, AF)                                                                                                     
