   23.155.72.145   64289   0.0              (Santa Clara, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.10.10.0      *       0.426                                          ***                                                                                                     
   206.82.104.167  39405   68.813                      (New York, NY, US, NA) de-cix.nyc.acorus.net                                                                               
   100.99.0.41     *       68.928                                         ***                                                                                                     
   100.99.0.71     *       73.871                                         ***                                                                                                     
   100.99.1.38     *       91.414                                         ***                                                                                                     
   100.99.1.58     *       142.06                                         ***                                                                                                     
   100.100.1.17    *       142.345                                        ***                                                                                                     
   107.162.217.5   55002   142.056             (San Jose, California, US, NA)                                                                                                     
