   89.213.179.65   32167   0.0                 (Hong Kong, Hong Kong, HK, AS) 89-213-179-65.ip.lshiyusercontent.com                                                               
   89.213.179.64   32167   0.084             (Kadoorie, Kowloon City, HK, AS) 89-213-179-64.ip.lshiyusercontent.com                                                               
   103.203.243.10  955     0.188             (Kadoorie, Kowloon City, HK, AS) port-channe17.switch1.hkg1.bb.lshiy.net                                                             
   36.255.57.100   137409  0.408                         (None, None, HK, AS) 137409-hk1-ix.equinix.com                                                                           
   206.148.24.125  7578    0.316               (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   45.11.107.70    969     0.305               (Hong Kong, Hong Kong, HK, AS) e26-1-gsl.cr1a.eqhk2.hkg12.hk.917.as                                                                
   199.119.64.151  969     0.299               (Hong Kong, Hong Kong, HK, AS) po103-10.spine3.hkg12.hk.misaka.io                                                                  
   45.11.104.9     57695   0.207               (Hong Kong, Hong Kong, HK, AS) po30.0103.hkg12.hk.misaka.io                                                                        
   45.11.104.146   57695   0.297               (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
