   102.130.68.151  37468   0.0                (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   102.130.68.146  37468   0.465                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
   196.60.8.215    30844   1.038                   (Johannesburg, GT, ZA, AF) napafricajhb.liquidtelecom.net                                                                      
╭─ 41.175.222.255  30844   1.002              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
S&T (30844)  eastern-africa-submarine-system-eassy 👍 || seacomtata-tgn-eurasia ✓
╰─ 41.175.224.15   30844   72.947             (Nairobi, Nairobi Area, KE, AF)                                                                                                     
   197.155.94.74   30844   72.76                        (Nairobi, 30, KE, AF) hu-0-4-0-3.lke-p1-msa.liquidtelecom.net                                                             
   197.155.94.51   30844   74.147                     (Nairobi, None, KE, AF) xe-0-1-0-1.lke-pe3-nbi.liquidtelecom.net                                                            
   197.155.93.65   37578   72.776                       (Nairobi, 30, KE, AF) 197.155.93.65.liquidtelecom.net                                                                     
   196.6.220.42    37578   72.858           (Nairobi, Nairobi County, KE, AF)                                                                                                     
