   196.40.111.147  37153   0.0              (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
   196.40.111.145  37153   0.559 (9.405)       (Cape Town, Western Cape, ZA, AF)                                                                                                     
   41.204.206.37   37153   0.578            (Cape Town, Western Cape, ZA, AF) core-router1.cpt2.host-h.net                                                                        
   196.60.71.87    *       0.467             (Rosebank, Western Cape, ZA, AF) 196-60-71-87.ixp.capetown                                                                           
   154.51.12.90    34465   18.299             (Johannesburg, Gauteng, ZA, AF) cr01-ter.jhb.za.ncryptd.net                                                                         
   154.51.12.158   34465   16.229             (Johannesburg, Gauteng, ZA, AF) br01-ter.jhb.za.ncryptd.net                                                                         
   102.130.51.81   *       16.25              (Johannesburg, Gauteng, ZA, AF) e49-3-1210.cr1a.tdjb1.jnb1.za.917.as                                                                
   102.130.51.5    *       16.261             (Johannesburg, Gauteng, ZA, AF) e36-1-20.spine1.jnb01.za.misaka.io                                                                  
   102.130.49.21   328383  16.249             (Johannesburg, Gauteng, ZA, AF) po-21.lag.jnb01.za.misaka.io                                                                        
   102.130.49.144  328383  16.545             (Johannesburg, Gauteng, ZA, AF) za-jnb-as57695.anchors.atlas.ripe.net                                                               
