   200.160.6.19    22548   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
   200.160.6.61    22548   0.549         (Taboão da Serra, São Paulo, BR, SA) ae1-89.ar3.jd.registro.br                                                                           
   200.160.0.253   22548   0.738                         (None, None, BR, SA) ae0-0.core1.nu.registro.br                                                                          
   200.160.0.159   22548   0.68                          (None, None, BR, SA) xe-4-0-0-61.gw2.jd.registro.br                                                                      
   187.16.221.17   *       1.182                  (Osasco, São Paulo, BR, SA) as1916.saopaulo.sp.ix.br                                                                            
   170.79.213.109  *       6.981               (São Paulo, São Paulo, BR, SA) cpr1-csp2-tlb.bkb.rnp.br                                                                            
   170.79.212.255  1916    16.602                        (None, None, BR, SA) crs1-cpr1-eltsul.bkb.rnp.br                                                                         
   170.79.214.37   2716    17.109                        (None, None, BR, SA) *                                                                                                   
   200.132.1.32    2716    17.024    (Porto Alegre, Rio Grande do Sul, BR, SA) ripe.grupo-redes.inf.ufrgs.br                                                                       
