   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.255              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
╭─ 198.32.176.177  7575    0.52                       (Palo Alto, CA, US, NA) xe-0-0-0.bb1.a.pao.aarnet.net.au                                                                    
S (7575)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 202.158.194.176 7575    153.904             (New South Wales, NSW, AU, OC) xe-1-2-1.pe2.brwy.nsw.aarnet.net.au                                                                 
   113.197.15.142  7575    154.177             (New South Wales, NSW, AU, OC) et-2-1-0.pe1.mcqp.nsw.aarnet.net.au                                                                 
   113.197.15.7    7575    165.113                  (Queensland, QLD, AU, OC) et-0-3-0.pe1.fvly.qld.aarnet.net.au                                                                 
   138.44.129.154  4608    165.419                     (Lismore, NSW, AU, OC) gw-apnic-pe1.fvly.aarnet.net.au                                                                     
   203.119.104.30  4608    165.491                    (Brisbane, QLD, AU, OC) et-1-38.nxcs2.bne.apnic.net                                                                         
   203.119.111.139 4608    165.93              (Brisbane, Queensland, AU, OC) anchor.apnic.net                                                                                    
