   197.189.194.147 37153   0.0                (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
   197.189.194.145 37153   0.583 (7.491)         (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.189.193.2   37153   0.325              (Johannesburg, Gauteng, ZA, AF) core-router1.jnb1.host-h.net                                                                        
   41.66.132.241   37179   0.378              (Johannesburg, Gauteng, ZA, AF) 41-66-132-241-f1.customer.xe-0-0-2-gp-sm-het-mee-1.africainx.net                                    
   41.84.13.65     37225   1.684                   (Johannesburg, GP, ZA, AF) core.ge-0-1-1-gp-id-pbr-1.za.africainx.net                                                          
   80.84.20.30     6774    1.471              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
╭─ 81.52.179.79    5511    1.476                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
T (5511)  
╰─ 193.251.241.157 5511    175.313                     (London, None, GB, EU) bundle-ether304.lontr5.london.opentransit.net                                                       
   193.251.248.52  5511    178.658                  (London, England, GB, EU)                                                                                                     
   37.143.136.249  196745  179.115                 (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  179.307                   (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
