   77.223.128.226  43391   0.0                (İzmir, İzmir Province, TR, AS)                                                                                                     
   10.200.0.1      *       0.322                                          ***                                                                                                     
   10.20.0.250     *       0.913                                          ***                                                                                                     
   10.34.35.10     *       15.032                                         ***                                                                                                     
   185.1.48.13     1299    42.745                    (Istanbul, 34, TR, None) peer-01.tic.ir                                                                                      
   10.21.41.12     *       50.736                                         ***                                                                                                     
   10.202.7.131    *       53.923                                         ***                                                                                                     
   10.21.21.162    *       51.307                                         ***                                                                                                     
   10.21.251.42    *       54.35                                          ***                                                                                                     
   10.48.54.86     *       56.454                                         ***                                                                                                     
   172.22.12.1     *       53.402                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
