   185.14.96.232   211186  0.0                (Lamía, Central Greece, GR, EU)                                                                                                     
   185.14.96.225   211186  0.628              (Lamía, Central Greece, GR, EU) vlan4090.lamia.fast.net.gr                                                                          
   212.205.28.249  6799    0.645              (Lamía, Central Greece, GR, EU) 249.28.205.212.static.otenet.gr                                                                     
   79.128.234.128  6799    3.67                     (Maroúsi, Attica, GR, EU)                                                                                                     
   62.75.3.17      12713   3.784             (Néa Chalkidóna, Attica, GR, EU) kolasr02-hu-0-8-0-0.ath.oteglobe.gr                                                                 
╭─ 62.75.3.58      42313   19.433                         (Athens, I, GR, EU) albtelecom2.ath.OTEGlobe.gr                                                                         
S&T (42313, 42409)  
╰─ 217.24.245.22   42409   19.594                        (None, None, AL, EU) *                                                                                                   
   194.1.149.250   42409   20.351                        (None, None, AL, EU) *                                                                                                   
   194.1.149.210   42409   20.188                    (Tirana, Tirana, AL, EU)                                                                                                     
