   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.335            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.404            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.153.37   4637    1.861         (Sham Shui Po, Sham Shui Po, HK, AS)                                                                                                     
   202.84.156.54   4637    2.277     (Hong Kong, Central and Western, HK, AS) i-97.hkgg01.telstraglobal.net                                                                       
   202.127.78.106  4637    1.966               (Hong Kong, Hong Kong, HK, AS) unknown.telstraglobal.net                                                                           
   45.11.107.252   35487   3.09                     (Hong Kong, None, HK, AS) v1621.irb.hkg12.hk.misaka.io                                                                        
   45.11.107.253   35487   2.609                    (Hong Kong, None, HK, AS) v1621.irb.hkg12.hk.misaka.io                                                                        
   45.11.104.7     57695   2.648                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   45.11.104.146   57695   3.156               (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
