   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.144     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.356     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.632     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.295 (2.459)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.985                    (Miami, Florida, US, NA)                                                                                                     
   74.119.26.91    21559   23.655                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.24.2.225    174     24.6                    (Jacksonville, FL, US, NA) be3484.rcr21.jax01.atlas.cogentco.com                                                               
   154.54.46.101   174     30.541                  (Atlanta, Georgia, US, NA) be2450.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.28.130   174     43.722                       (Houston, TX, US, NA) be2690.ccr42.iah01.atlas.cogentco.com                                                               
   154.54.2.6      174     59.946                       (Chicago, IL, US, NA) te0-0-2-0.agr12.ord03.atlas.cogentco.com                                                            
   154.54.26.53    174     68.353                  (Phoenix, Arizona, US, NA) be3872.ccr32.phx01.atlas.cogentco.com                                                               
   154.54.28.146   174     68.56                        (Phoenix, AZ, US, NA) be3408.rcr21.b023003-0.phx01.atlas.cogentco.com                                                     
   38.122.88.42    53824   72.486                      (Glendale, AZ, US, NA) cogent-phx.liquidweb.com                                                                            
   50.28.96.238    53824   71.668                        (None, None, US, NA) lw-dc4-core2-nexus-eth4-2.rtr.liquidweb.com                                                         
   50.28.96.55     53824   73.099                        (None, None, US, NA) lw-dc4-dist2.rtr.liquidweb.com                                                                      
   50.28.98.185    53824   72.018          (Paradise Valley, Arizona, US, NA)                                                                                                     
