   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.137     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.374     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.558     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.242 (2.453)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.886                    (Miami, Florida, US, NA)                                                                                                     
   206.41.108.11   19151   18.227                        (None, None, US, NA) fl-ix-c01.bboi.net                                                                                  
   66.216.2.12     19151   23.64                          (Tampa, FL, US, NA) *                                                                                                   
   66.216.50.42    19151   23.643                    (Tampa, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   199.47.174.227  12110   23.324                    (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
