   5.158.64.189    199181  0.0                (Battipaglia, Campania, IT, EU)                                                                                                     
   5.158.64.129    199181  0.286            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   5.158.64.237    199181  0.373            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   77.39.128.5     199181  0.386            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   89.221.32.36    6762    15.055                       (Rome, Lazio, IT, EU) et0-0-32-0.roma54.rom.seabone.net                                                                   
╭─ 195.22.208.117  6762    15.157                         (Milan, 25, IT, EU) ae10.milano58.mil.seabone.net                                                                       
S&T (6762, 3257)  
╰─ 213.254.220.57  3257    14.889                         (Madrid, M, ES, EU) ae8-65.cr0-mad5.ip4.gtt.net                                                                         
   89.149.130.238  3257    33.216                    (Madrid, Madrid, ES, EU) ae0.cr4-mad5.ip4.gtt.net                                                                            
   212.221.81.66   3257    37.023                    (Madrid, Madrid, ES, EU) ip4.gtt.net                                                                                         
   178.249.215.101 60068   37.071                    (Madrid, Madrid, ES, EU) unn-178-249-215-101.cdn77.com                                                                       
   194.156.155.241 48386   37.229                    (Madrid, Madrid, ES, EU) es-mad-as48386-client.anchors.atlas.ripe.net                                                        
