   212.116.14.178  6659    0.0                     (Hamburg, Hamburg, DE, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   212.116.21.244  6659    1.055     (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   194.15.144.153  *       1.095     (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   85.119.200.129  61157   0.602     (Norderstedt, Schleswig-Holstein, DE, EU) ae4.cr1.ham5.plusserver.com                                                                         
   85.119.200.85   61157   13.218                        (None, None, DE, EU) ae6.cr2.fra.plusserver.com                                                                          
╭─ 80.81.194.79    42525   13.638            (Frankfurt am Main, 5, DE, None) decix.fran1br1de.gc-net.eu                                                                          
T (42525, 31027)  
╰─ 194.182.97.114  31027   26.955             (Odense, South Denmark, DK, EU)                                                                                                     
   194.182.97.126  42525   26.722                        (None, None, DK, EU) *                                                                                                   
   194.182.97.204  42525   26.674                        (None, None, DK, EU) *                                                                                                   
   194.182.97.202  42525   26.65                         (None, None, DK, EU) *                                                                                                   
   194.182.97.246  42525   27.116                        (None, None, DK, EU) be2.kold1p2dk.gc-net.eu                                                                             
   194.182.97.248  42525   26.892                        (None, None, DK, EU) be2.hoer1p2dk.gc-net.eu                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   185.221.36.2    48854   29.679        (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
