   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.188     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.307     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   149.6.119.1     174     0.54      (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) te0-1-1-4.rcr21.lys01.atlas.cogentco.com                                                            
╭─ 154.54.61.73    174     0.472 (5.064)(Marseille, Provence-Alpes-Côte d'Azur, FR, EU) be3127.ccr31.mrs02.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.74.194   174     13.113                     (Barcelona, CT, ES, EU) be2866.rcr21.bcn01.atlas.cogentco.com                                                               
   149.6.130.74    15699   14.435                     (Barcelona, CT, ES, EU) *                                                                                                   
   185.11.200.66   15699   14.154                        (None, None, ES, EU) *                                                                                                   
   94.24.115.148   15699   14.209              (Barcelona, Catalonia, ES, EU)                                                                                                     
   94.24.115.154   15699   14.456              (Barcelona, Catalonia, ES, EU)                                                                                                     
