   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.15      (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.427     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.474     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.189 (2.338)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.862                    (Miami, Florida, US, NA)                                                                                                     
   76.74.57.181    3257    18.827                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   209.120.135.42  21700   43.951                     (Hollywood, FL, US, NA) ip4.gtt.net                                                                                         
   23.157.160.5    207036  44.22                       (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   43.959           (New York City, New York, US, NA)                                                                                                     
