   206.196.178.150 10886   0.0                     (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
   206.196.178.149 10886   0.792             (Pimmit Hills, Virginia, US, NA)                                                                                                     
   206.196.177.81  11164   1.636                     (Washington, DC, US, NA) et-2-3-0-1277.rtsw.wash.net.internet2.edu                                                           
   163.253.1.120   11164   3.278                         (None, None, US, NA) fourhundredge-0-0-0-0.4079.core2.ashb.net.internet2.edu                                             
   163.253.1.141   11164   2.069                         (None, None, US, NA) fourhundredge-0-0-0-50.4079.agg2.ashb.net.internet2.edu                                             
   206.126.236.47  19151   1.753                 (Washington, DC, VA, US, NA) eqx.20ge.iad.bboi.net                                                                               
   66.216.1.121    19151   46.689              (South Plainfield, NJ, US, NA) mia-ten3-2-ash-ten7-5.bboi.net                                                                      
   66.216.2.12     19151   46.317                         (Tampa, FL, US, NA) *                                                                                                   
   66.216.50.42    19151   45.085                    (Tampa, Florida, US, NA)                                                                                                     
   199.47.174.227  12110   45.382                    (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
