   195.66.241.220  5459    0.0                      (London, England, GB, EU) ripe-anchor.linx.net                                                                                
   195.66.241.219  5459    0.56                     (Poplar, England, GB, EU) hsrp1.tr1-tr6.linx.net                                                                              
   195.66.243.21   5459    0.621                    (Poplar, England, GB, EU) et-0-0-0-border2-tch.linx.net                                                                       
   195.66.238.215  41000   2.14                       (London, ENG, GB, None) gi0-0-0-13.thn-rt1.uk.as41000.net                                                                   
   176.74.23.251   41000   2.249                  (Shadwell, England, GB, EU) 2.vlan.lon1-csw1.uk.as41000.net                                                                     
   176.74.23.211   41000   2.357                    (London, England, GB, EU) 0.xe-0-0-23.lon2-csw1.uk.as41000.net                                                                
   176.74.23.214   41000   8.895                (Manchester, England, GB, EU) 0.xe-0-0-23.man1-csw1.uk.as41000.net                                                                
   176.74.23.223   41000   9.724                (Manchester, England, GB, EU) 0.ae1.man1-esw1.uk.as41000.net                                                                      
   176.74.17.75    41000   8.571                (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
