   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   103.170.232.11  142616  0.129                       (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.2   142616  0.255                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.136  969     0.242                       (Tokyo, Tokyo, JP, AS) e53-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   199.119.64.95   969     0.22                        (Tokyo, Tokyo, JP, AS) po100.cr2a.eqty8.nrt4.jp.917.as                                                                     
   84.17.33.106    60068   0.193                       (Tokyo, Tokyo, JP, AS) po66-3518.cr01.nrt04.jp.misaka.io                                                                   
   138.199.0.216   60068   0.219                 (Tokyo / Narita, 12, JP, AS) vl250.tyo-eq8-core-1.cdn77.com                                                                      
   45.134.215.23   60068   0.931                       (Tokyo, Tokyo, JP, AS) cloudflare-tyo.cdn77.com                                                                            
   103.22.201.25   13335   0.633                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.68.117.107  13335   0.613                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.68.117.15   13335   0.761                          (Tokyo, 13, JP, AS) *                                                                                                   
   172.68.117.85   13335   0.851                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
