   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  2.32                (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    2.308               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    3.472               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    3.472               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    3.516               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
╭─ 63.218.165.85   3491    2.744                       (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
S (3491)  asia-pacific-gateway-apg ✓ || eac-c2c ✓ || apcn-2 👍 || seamewe-3 👍
╰─ 63.218.148.181  3491    90.74                        (Seoul, None, KR, AS) TenGE0-1-0-1.br04.seo01.pccwbtn.net                                                                 
   63.222.106.8    3491    90.592                      (Seoul, Seoul, KR, AS) 63-222-106-8.static.pccwglobal.net                                                                  
