   78.141.215.164  20473   0.0               (Haarlem, North Holland, NL, EU) 78.141.215.164.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.72.2.37      *       1.51                                           ***                                                                                                     
   10.72.4.17      *       1.339                                          ***                                                                                                     
   10.72.4.1       *       1.416                                          ***                                                                                                     
╭─ 80.249.209.216  9002    1.432                       (Schiphol, NH, NL, EU) ams-ix.retn.net                                                                                     
S&T (9002)  
╰─ 87.245.234.10   9002    4.9                        (Brussels, BRU, BE, EU) et000-7.RT.IRX.BRU.BE.retn.net                                                                      
   87.245.230.147  9002    4.683                 (Nossegem, Flanders, BE, EU) gw-as212882.retn.net                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
