   102.130.66.11   37468   0.0                       (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.66.1    37468   0.39                      (Luanda, Luanda, AO, AF)                                                                                                     
╭─ 102.130.68.107  37468   1.853                     (Luanda, Luanda, AO, AF)                                                                                                     
S&T (37468)  west-africa-cable-system-wacs 👍 || sat-3wasc ✓
╰─ 102.130.68.143  37468   54.218                  (Johannesburg, GT, ZA, AF) *                                                                                                   
   102.130.70.58   37468   54.284             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   37.19.193.191   60068   54.126             (Johannesburg, Gauteng, ZA, AF) p77-3502.cr1a.tdjb1.jnb1.za.917.as                                                                  
   102.130.51.3    *       54.198             (Johannesburg, Gauteng, ZA, AF) e35-1-10.spine2.jnb01.za.misaka.io                                                                  
   102.130.49.21   328383  54.136             (Johannesburg, Gauteng, ZA, AF) po-21.lag.jnb01.za.misaka.io                                                                        
   102.130.49.144  328383  54.393             (Johannesburg, Gauteng, ZA, AF) za-jnb-as57695.anchors.atlas.ripe.net                                                               
