   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.2   142616  0.259                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.140  969     0.316                       (Tokyo, Tokyo, JP, AS) e53-20.cr2a.eqty8.nrt4.jp.917.as                                                                    
   84.17.33.104    60068   0.244                       (Tokyo, Tokyo, JP, AS) po66-3517.cr02.nrt04.jp.misaka.io                                                                   
╭─ 62.115.189.145  1299    0.707                       (Tokyo, Tokyo, JP, AS) tky-b3-link.ip.twelve99.net                                                                         
S (1299)  japan-u-s-cable-network-jus ✓ || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter ✓
╰─ 62.115.127.10   1299    111.671                 (Portland, Oregon, US, NA) port-b3-link.ip.twelve99.net                                                                        
   62.115.142.89   1299    111.613                 (Portland, Oregon, US, NA) port-b2-link.ip.twelve99.net                                                                        
   62.115.139.133  1299    111.731              (Seattle, Washington, US, NA) sea-b3-link.ip.twelve99.net                                                                         
   62.115.132.157  1299    111.794              (Seattle, Washington, US, NA) sea-b1-link.ip.twelve99.net                                                                         
   62.115.186.119  1299    156.66               (Seattle, Washington, US, NA) f5inc-ic-352896.ip.twelve99-cust.net                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   107.162.217.5   55002   170.192             (San Jose, California, US, NA)                                                                                                     
