   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.363                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.451                    (Palermo, Sicily, IT, EU)                                                                                                     
   185.1.46.4      *       0.424                    (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
   195.22.196.71   6762    19.006                         (Milan, 25, IT, EU) ae1.milano52.mil.seabone.net                                                                        
   213.144.167.19  6762    19.284                   (Milan, Lombardy, IT, EU) vox-167-19.mil.seabone.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    20.14                 (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    20.377                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    20.174                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.138    5602    21.318                          (Rome, 62, IT, EU) cs1-xe-1-1-2-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    20.293                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
